date;Resistiré de Dúo Dinámico;Resistiré Versión 2020
2020-03-16;187.0;
2020-03-17;129.0;
2020-03-18;88.0;
2020-03-19;61.0;
2020-03-20;62.0;
2020-03-21;59.0;
2020-03-22;59.0;
2020-03-23;90.0;
2020-03-24;73.0;
2020-03-25;57.0;
2020-03-26;59.0;
2020-03-27;62.0;
2020-03-28;57.0;
2020-03-29;59.0;
2020-03-30;100.0;
2020-03-31;110.0;
2020-04-01;65.0;
2020-04-02;69.0;
2020-04-03;73.0;112.0
2020-04-04;70.0;114.0
2020-04-05;87.0;93.0
2020-04-06;125.0;82.0
2020-04-07;127.0;69.0
2020-04-08;144.0;58.0
2020-04-09;128.0;61.0
2020-04-10;156.0;64.0
2020-04-11;153.0;64.0
2020-04-12;154.0;62.0
2020-04-13;186.0;54.0
2020-04-14;;52.0
2020-04-15;;54.0
2020-04-16;;54.0
2020-04-17;;53.0
2020-04-18;;49.0
2020-04-19;;47.0
2020-04-20;;53.0
